Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
2005,8,8,,2022,,,,,Government Incentivizes Alternative Fueling,"The US government enacts the Alternative Fuel Infrastructure Tax Credit , which provides tax incentive for installing equipment for alternative fuels like electricity, hydrogen, and natural gas. Businesses and individuals receive a tax credit of up to 30% of the cost, with a maximum credit of $30,000 for commercial installations and $1,000 for residential installations. This credit is intended to encourage the development of a robust infrastructure network and ease reliance on tranditional fossil fuels.",https://www.mpofcinci.com/wp-content/uploads/2022/05/475237_alternative-fuel-road-sign-min.jpg,https://www.mpofcinci.com/wp-content/uploads/2022/05/475237_alternative-fuel-road-sign-min.jpg,,,,,
1990,,,,,,,,,California's Landmark Emissions Mandate,"The Zero Emission Vehicle (ZEV) Mandate, is initiated by California Air Resources Board (CARB). It requires automakers to produce a certain percentage of vehicles with zero tailpipe emissions, such as electric, hydrogen fuel cell, and plug-in hybrid vehicles. This regulation aims to reduce air pollution, combat climate change, and promote the adoption of cleaner transportation technologies. By setting ambitious targets for ZEV sales, the mandate encourages innovation in the automotive industry and supports the transition to a more sustainable transportation system.",https://i0.wp.com/calmatters.org/wp-content/uploads/2020/07/FresnoBee_airpollution_2017_01.jpg?w=2000&ssl=1,https://i0.wp.com/calmatters.org/wp-content/uploads/2020/07/FresnoBee_airpollution_2017_01.jpg?w=2000&ssl=1,,,,,
2012,9,24,,,,,,,Tesla Develops Fast Charging,"Tesla introduces the Supercharger network, a revolutionary system of fast-charging stations designed to significantly reduce the charging time for its electric vehicles. The network aims to make long-distance travel more feasible by providing high-speed charging that can add up to 200 miles of range in around 30 minutes.","https://wp.technologyreview.com/wp-content/uploads/2023/06/GettyImages-1412255960-crop.jpeg?fit=2252,1266","https://wp.technologyreview.com/wp-content/uploads/2023/06/GettyImages-1412255960-crop.jpeg?fit=2252,1266",,,,,
2024,5,,,,,,,,United States Leads in Fast-Charging,"The United States leads the world in fast-charging infrastructure, with 2,265 Supercharging sites with nearly 26,000 stalls, more than any other nation in the world. ",,,,,,,
2021,11,15,,,,,,,President Biden Pushes for EV Infrastructure,"The National Electric Vehicle Infrastructure (NEVI) program is established, as part of President Biden's Bipartisan Infrastructure Law. It aims to create a comprehensive network of EV charging stations across the United States. With a budget of $5 billion over five years, the program focuses on facilitating the widespread adoption of electric vehicles by funding the installation of reliable and accessible charging infrastructure along major highways and in underserved communities. This initiative is part of a broader effort to reduce greenhouse gas emissions, enhance energy security, and support economic growth through the development of clean energy technologies.",https://www.electric.coop/wp-content/uploads/2021/07/EVCharging-rural-america-2048x850.jpg,https://www.electric.coop/wp-content/uploads/2021/07/EVCharging-rural-america-2048x850.jpg,,,,,
2022,,,,,,,,,Electric Vehicle Outlook,"The International Energy Agency’s (IEA) annual Global Electric Vehicle Outlook reports that 10 million electric cars were sold in 2022. The report projects a significant increase in sales, expecting a 35% growth in 2023, which would bring the total to 14 million electric cars sold. This analysis highlights the rapid expansion of the EV market, providing insights into trends, developments, and the policies driving this growth, and serving as a vital resource for understanding the future of sustainable transportation.",,,,,,,
2024,2,,,,,,,,Tesla Superchargers Open to Broader Base,"Tesla announced that it would open its network of over 15,000 Superchargers across the U.S. and Canada to electric vehicle customers from Ford Motor Company. This move marks a significant step towards greater interoperability and accessibility in EV charging infrastructure, facilitating easier long-distance travel for Ford EV owners and promoting wider adoption of electric vehicles.",https://media.ford.com/content/dam/fordmedia/North%20America/US/2023/05/25/Ford_Tesla_F-150%20Lightning.jpeg/jcr:content/renditions/cq5dam.web.881.495.jpeg,https://media.ford.com/content/dam/fordmedia/North%20America/US/2023/05/25/Ford_Tesla_F-150%20Lightning.jpeg/jcr:content/renditions/cq5dam.web.881.495.jpeg,,,,,
1996,12,,,,,,,,General Motors Releases EV1,"General Motors releases the EV1, the first mass-produced electric vehicle from a major automaker, designed to showcase the potential of zero-emission transportation. Despite its innovative technology and positive reception, GM controversially withdrew the EV1 from the market in 2003, citing limited demand and high production costs. This decision sparked significant debate and criticism, particularly from EV enthusiasts and environmental advocates, and underscored the challenges faced by early electric vehicles in gaining market traction.",https://www.topgear.com/sites/default/files/images/news-listicle/items2/2021/02/26f1e8430f95d52e39a366e0024b81dc/1_gm-impact-concept.jpg?w=1654&h=930,https://www.topgear.com/sites/default/files/images/news-listicle/items2/2021/02/26f1e8430f95d52e39a366e0024b81dc/1_gm-impact-concept.jpg?w=1654&h=930,,,,,
1967,,,,,,,,,California Addresses Air Pollution,"The California Air Resources Board (CARB) was established in 1967 to address air pollution and set emissions standards. As part of its efforts to combat vehicle emissions, CARB played a crucial role in promoting electric vehicles (EVs) and developing charging station infrastructure.",https://ww2.arb.ca.gov/sites/default/files/styles/list/public/images/ab357_signing.jpg?h=b159d25b&itok=OZ0Bw17k,https://ww2.arb.ca.gov/sites/default/files/styles/list/public/images/ab357_signing.jpg?h=b159d25b&itok=OZ0Bw17k,,,,,
2001,,,,2006,,,,,Development of Type 1 Chargers,"The development of Type 1 chargers, spearheaded by the California Air Resources Board (CARB), marked a significant milestone in electric vehicle (EV) charging infrastructure. Prompted by CARB's rejection of inductive technology in favor of conductive coupling, the SAE J1772 standard emerged as the preferred charging interface for EVs in California. The early version of the connector featured a rectangular design capable of delivering up to 6.6 kW of electrical power. Mandated by California regulations starting in 2006, the SAE J1772 standard laid the foundation for the widespread adoption of Type 1 chargers, shaping the evolution of EV charging technology.",https://i0.wp.com/wepoweryourcar.com/app/uploads/2023/08/What-is-a-Type-1-EV-charger.png?fit=2400%2C1000&ssl=1,https://i0.wp.com/wepoweryourcar.com/app/uploads/2023/08/What-is-a-Type-1-EV-charger.png?fit=2400%2C1000&ssl=1,,,,,
